intersection_id,tollgate_id,time_window,avg_travel_time
A,2,"[2016-10-25 06:00:00,2016-10-25 06:20:00)",30.47427089208848
A,2,"[2016-10-25 06:20:00,2016-10-25 06:40:00)",32.232853397661515
A,2,"[2016-10-25 06:40:00,2016-10-25 07:00:00)",31.343701024102245
A,2,"[2016-10-25 07:00:00,2016-10-25 07:20:00)",31.69294093911537
A,2,"[2016-10-25 07:20:00,2016-10-25 07:40:00)",30.54984812271461
A,2,"[2016-10-25 07:40:00,2016-10-25 08:00:00)",30.518715534444087
A,2,"[2016-10-26 06:00:00,2016-10-26 06:20:00)",31.53106223797213
A,2,"[2016-10-26 06:20:00,2016-10-26 06:40:00)",34.5525400248949
A,2,"[2016-10-26 06:40:00,2016-10-26 07:00:00)",34.56925401403166
A,2,"[2016-10-26 07:00:00,2016-10-26 07:20:00)",31.654379723311447
A,2,"[2016-10-26 07:20:00,2016-10-26 07:40:00)",31.35076293619653
A,2,"[2016-10-26 07:40:00,2016-10-26 08:00:00)",33.546342209891094
A,2,"[2016-10-27 06:00:00,2016-10-27 06:20:00)",39.735584712091324
A,2,"[2016-10-27 06:20:00,2016-10-27 06:40:00)",32.785849133481626
A,2,"[2016-10-27 06:40:00,2016-10-27 07:00:00)",36.489120552727115
A,2,"[2016-10-27 07:00:00,2016-10-27 07:20:00)",33.47066575137602
A,2,"[2016-10-27 07:20:00,2016-10-27 07:40:00)",31.35726853731589
A,2,"[2016-10-27 07:40:00,2016-10-27 08:00:00)",32.799757366574894
A,2,"[2016-10-28 06:00:00,2016-10-28 06:20:00)",37.175594410322475
A,2,"[2016-10-28 06:20:00,2016-10-28 06:40:00)",39.96415887746369
A,2,"[2016-10-28 06:40:00,2016-10-28 07:00:00)",35.57102690576308
A,2,"[2016-10-28 07:00:00,2016-10-28 07:20:00)",32.490612321957755
A,2,"[2016-10-28 07:20:00,2016-10-28 07:40:00)",32.769816210996986
A,2,"[2016-10-28 07:40:00,2016-10-28 08:00:00)",32.150015180465644
A,2,"[2016-10-29 06:00:00,2016-10-29 06:20:00)",30.666087554284978
A,2,"[2016-10-29 06:20:00,2016-10-29 06:40:00)",31.212677541248077
A,2,"[2016-10-29 06:40:00,2016-10-29 07:00:00)",30.46477978548776
A,2,"[2016-10-29 07:00:00,2016-10-29 07:20:00)",30.40231077080213
A,2,"[2016-10-29 07:20:00,2016-10-29 07:40:00)",30.585901030364628
A,2,"[2016-10-29 07:40:00,2016-10-29 08:00:00)",30.095020622876625
A,2,"[2016-10-30 06:00:00,2016-10-30 06:20:00)",30.18674170514275
A,2,"[2016-10-30 06:20:00,2016-10-30 06:40:00)",29.554309739524932
A,2,"[2016-10-30 06:40:00,2016-10-30 07:00:00)",30.469234793052845
A,2,"[2016-10-30 07:00:00,2016-10-30 07:20:00)",29.531087466742786
A,2,"[2016-10-30 07:20:00,2016-10-30 07:40:00)",29.64172398292277
A,2,"[2016-10-30 07:40:00,2016-10-30 08:00:00)",30.147038907003733
A,2,"[2016-10-31 06:00:00,2016-10-31 06:20:00)",30.173994153640386
A,2,"[2016-10-31 06:20:00,2016-10-31 06:40:00)",31.097611841483197
A,2,"[2016-10-31 06:40:00,2016-10-31 07:00:00)",30.60918142967
A,2,"[2016-10-31 07:00:00,2016-10-31 07:20:00)",30.01551111939035
A,2,"[2016-10-31 07:20:00,2016-10-31 07:40:00)",30.433279990740772
A,2,"[2016-10-31 07:40:00,2016-10-31 08:00:00)",29.918945896031648
A,3,"[2016-10-25 06:00:00,2016-10-25 06:20:00)",116.6440695652442
A,3,"[2016-10-25 06:20:00,2016-10-25 06:40:00)",87.06397764039788
